id,age,height,weight,inseam,armLength,shoulderLength,chestCirc,waistCirc,hipCirc,kneeCirc,calfCirc,armCirc,headCirc
6_2117,27,1657,61,763,567,390,886,692,950,382,359,301,512
6_2117,27,1657,61,763,567,390,886,692,950,382,359,301,512
6_2118,31,1642,56,760,559,369,878,679,942,342,348,295,551
6_2118,31,1642,56,760,559,369,878,679,942,342,348,295,551
6_2119,28,1594,55,713,514,388,897,708,914,366,337,293,569
6_2119,28,1594,55,713,514,388,897,708,914,366,337,293,569
6_2120,30,1614,48,745,516,376,812,636,895,321,325,275,566
6_2120,30,1614,48,745,516,376,812,636,895,321,325,275,566
6_2121,29,1612,55,711,524,367,889,710,897,346,348,270,570
6_2121,29,1612,55,711,524,367,889,710,897,346,348,270,570
6_2122,26,1687,51,751,545,383,819,624,881,343,324,256,540
6_2122,26,1687,51,751,545,383,819,624,881,343,324,256,540
6_2123,26,1652,62,751,557,389,896,695,984,399,401,288,550
6_2123,26,1652,62,751,557,389,896,695,984,399,401,288,550
6_2124,26,1582,45,676,475,346,800,660,849,319,297,250,557
6_2124,26,1582,45,676,475,346,800,660,849,319,297,250,557
6_2125,28,1732,84,734,565,407,1070,825,1071,391,390,357,559
6_2126,26,1649,52,750,559,363,841,672,899,343,330,261,534
6_2127,27,1749,66,812,568,428,922,721,1009,359,357,290,560
6_2128,27,1622,63,699,523,396,927,787,971,378,363,315,539
6_2129,23,1564,49,689,501,374,872,689,851,325,314,266,545
6_2130,26,1594,62,674,542,361,929,793,956,363,362,288,539
6_2131,29,1562,53,658,513,360,895,739,897,338,344,250,587
6_2132,25,1637,58,705,544,362,886,734,933,347,347,288,581
6_2133,25,1607,55,672,557,344,885,710,931,335,335,284,576
6_2134,23,1577,50,722,507,354,814,682,866,348,345,284,559
6_2135,28,1617,60,710,531,397,883,741,988,397,374,301,589
6_2136,28,1647,59,742,562,370,888,722,925,346,364,280,562
6_2137,27,1599,49,723,508,360,845,665,890,315,319,260,589
6_2138,27,1599,47,717,542,354,824,661,870,317,315,262,541
6_2139,29,1607,49,725,542,405,830,631,863,335,330,264,587
6_2140,28,1549,48,692,499,388,825,651,872,336,346,257,602
6_2141,25,1632,57,713,529,399,883,663,908,361,361,266,571
6_2142,28,1649,55,750,571,369,891,729,888,339,339,290,572
6_2143,28,1609,57,710,538,364,947,704,921,347,367,274,584
6_2144,29,1649,50,745,556,352,833,641,877,341,342,250,566
6_2145,26,1647,58,725,530,377,878,679,933,377,360,291,579
6_2146,25,1649,55,721,537,354,900,664,947,335,345,280,557
6_2147,29,1604,57,705,514,374,931,765,926,330,329,297,562
6_2148,28,1659,60,744,538,378,923,690,920,374,389,298,553
6_2149,28,1582,50,693,503,384,851,648,902,349,318,292,586
6_2150,24,1657,54,750,563,387,877,698,913,334,339,272,569
6_2151,25,1504,46,646,495,348,839,655,870,348,318,260,592
6_2152,26,1577,63,707,528,370,902,769,966,393,394,287,608
6_2153,26,1619,48,702,522,365,836,609,878,345,330,240,578
6_2154,26,1699,71,771,568,384,963,809,1020,387,393,305,599
6_2155,29,1647,57,727,547,368,888,705,933,359,355,284,575
6_2156,25,1587,49,690,515,372,813,667,885,326,313,274,597
6_2157,20,1677,57,768,561,379,882,697,953,375,336,301,610
6_2158,38,1519,53,671,513,379,906,790,882,335,343,282,567
6_2159,26,1614,51,736,532,357,869,664,867,331,335,279,583
6_2160,24,1589,62,713,526,391,930,780,961,367,371,306,590
6_2161,26,1627,52,720,528,379,846,682,894,339,338,271,560
6_2162,26,1679,56,729,528,391,820,651,926,365,357,274,549
6_2163,29,1594,44,712,512,360,821,650,829,300,305,238,547
6_2164,25,1564,46,720,523,359,835,648,866,325,309,299,558
6_2165,27,1572,54,694,507,357,843,708,902,358,366,277,572
6_2166,23,1574,53,684,509,377,891,724,900,333,337,276,557
6_2167,29,1637,58,729,532,389,868,700,922,351,341,280,545
6_2168,26,1554,46,698,514,358,799,614,873,323,334,238,574
6_2169,21,1677,62,728,551,396,921,751,965,353,358,294,546
6_2170,21,1547,53,674,529,374,880,702,958,339,320,294,557
6_2171,25,1569,46,702,537,353,852,645,864,346,301,271,557
6_2172,30,1647,51,726,560,364,809,663,886,347,335,247,554
6_2173,28,1657,55,743,553,420,867,684,907,366,367,274,555
6_2174,26,1657,48,736,553,383,839,602,865,331,328,253,549
6_2175,25,1722,53,794,572,391,859,685,915,316,331,275,548
6_2175,25,1722,53,794,572,391,859,685,915,316,331,275,548
6_2176,25,1639,66,704,536,400,1000,755,994,359,356,333,555
6_2176,25,1639,66,704,536,400,1000,755,994,359,356,333,555
6_2177,36,1514,65,672,488,361,980,831,1000,370,387,342,534
6_2177,36,1514,65,672,488,361,980,831,1000,370,387,342,534
6_2178,32,1574,54,694,523,356,862,718,929,326,331,267,558
6_2178,32,1574,54,694,523,356,862,718,929,326,331,267,558
6_2179,29,1562,53,682,542,385,900,713,920,333,342,275,537
6_2179,29,1562,53,682,542,385,900,713,920,333,342,275,537
6_2180,24,1597,54,687,545,396,878,703,890,319,323,288,557
6_2180,24,1597,54,687,545,396,878,703,890,319,323,288,557
6_2181,27,1684,54,756,554,405,855,636,913,344,341,279,556
6_2181,27,1684,54,756,554,405,855,636,913,344,341,279,556
6_2182,29,1619,49,690,537,357,832,599,887,328,314,252,535
6_2182,29,1619,49,690,537,357,832,599,887,328,314,252,535
6_2183,23,1557,44,689,513,399,850,606,828,327,307,249,552
6_2183,23,1557,44,689,513,399,850,606,828,327,307,249,552
6_2184,23,1577,51,701,531,320,841,647,918,346,346,304,544
6_2184,23,1577,51,701,531,320,841,647,918,346,346,304,544
6_2185,24,1717,58,763,591,386,901,727,964,337,309,270,552
6_2186,30,1722,54,757,553,361,857,648,879,351,340,260,542
6_2187,28,1547,49,697,530,342,821,677,883,340,336,251,552
6_2188,38,1617,67,693,540,383,977,842,942,368,368,317,552
6_2189,32,1604,50,668,480,385,857,613,884,340,342,265,553
6_2190,30,1632,48,756,542,390,870,669,843,312,294,266,584
6_2191,30,1537,60,674,519,364,943,782,926,368,375,314,588
6_2192,30,1707,67,802,611,401,990,838,922,348,341,339,534
