id,age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue,type
4946e_3dm,30,155,57,82,73,16,33,52,60,39,96,39,70,28,56,28,251,30avgf
4947e_3dm,30,160,50,78,67,16,35,55,53,40,87,38,73,28,53,28,233,30avgf
4948e_3dm,20,156,57,88,79,17,34,53,59,38,95,39,73,30,57,26,263,20btf
4949e_3dm,30,160,53,73,65,17,31,53,58,39,90,43,74,33,54,26,234,30avgf
4950e_3dm,30,169,65,84,74,17,38,58,62,41,89,39,76,27,57,31,262,30avgf
4951e_3dm,30,158,52,76,68,17,32,51,56,38,93,40,68,30,55,30,236,30avgf
4952e_3dm,30,144,49,76,74,17,34,47,57,38,87,35,62,26,55,27,234,30avgf
4953e_3dm,20,162,69,93,86,17,37,56,62,39,100,42,73,28,58,31,290,20btf
4954e_3dm,30,156,51,80,71,16,34,51,55,38,88,35,70,27,53,27,237,30avgf
4955e_3dm,20,155,59,84,77,17,35,52,59,40,96,30,70,23,56,28,250,20rtf
4956e_3dm,30,163,59,84,73,17,34,55,58,39,96,41,74,25,57,31,257,30avgf
4957e_3dm,30,161,52,78,69,18,33,55,52,39,89,36,74,27,55,30,235,30avgf
4958e_3dm,30,162,64,87,81,18,40,56,57,44,97,38,74,31,58,29,270,30tf
4959e_3dm,30,154,48,74,67,16,37,53,53,35,87,38,70,27,53,27,227,30avgf
4977e_3dm,30,156,58,82,75,17,32,54,59,39,94,38,70,27,56,29,253,30avgf
4978e_3dm,20,157,64,92,82,16,39,55,64,41,100,37,76,28,54,25,275,20btf
4979e_3dm,30,153,49,76,67,17,33,52,55,37,87,36,71,29,54,27,228,30avgf
4981e_3dm,30,153,48,75,69,17,32,52,53,38,86,40,70,28,54,27,232,30avgf
4982e_3dm,20,157,61,81,75,18,38,51,58,41,93,43,73,32,55,28,260,20rtf
4983e_3dm,20,156,58,80,76,16,33,53,62,41,98,44,69,33,55,28,258,20btf
4984e_3dm,20,159,63,87,75,17,35,54,62,45,97,41,72,29,55,30,266,20btf
4986e_3dm,20,149,50,81,72,16,32,51,57,40,92,42,68,33,54,27,245,20rtf
5013e_3dm,20,169,63,87,75,19,36,58,63,41,99,33,77,28,57,27,258,20btf
5014e_3dm,30,153,52,78,71,17,33,50,55,38,89,31,68,24,54,28,232,30avgf
5015e_3dm,30,160,57,81,70,17,32,55,59,38,95,0,70,21,54,29,208,30avgf
5016e_3dm,30,165,55,78,72,17,36,57,56,41,93,0,75,22,55,31,205,30avgf
5017e_3dm,30,158,60,89,79,17,38,52,59,40,91,0,71,23,57,28,228,30avgf
5023e_3dm,30,161,44,67,62,17,31,53,52,42,83,0,75,23,57,27,173,30avgf
5025e_3dm,30,157,59,82,76,18,36,53,59,39,93,0,72,22,56,27,217,30avgf
5026e_3dm,30,162,59,85,75,19,37,54,56,40,92,0,73,26,56,30,219,30tf
5027e_3dm,30,163,59,85,79,18,36,56,54,40,95,0,72,22,55,29,223,30avgf
5028e_3dm,30,160,61,86,75,17,36,53,62,41,99,0,70,23,55,29,222,30avgf
5029e_3dm,30,152,53,79,75,16,36,50,62,39,93,0,65,27,55,29,207,30avgf
5030e_3dm,30,159,50,77,67,16,33,54,53,37,89,0,72,26,54,28,194,30avgf
5031e_3dm,30,150,52,79,71,16,37,49,55,37,93,0,67,29,54,30,202,30avgf
5032e_3dm,30,161,56,75,69,17,33,54,55,38,90,0,69,23,55,30,200,30avgf
5033e_3dm,30,167,55,75,68,16,36,54,58,40,92,0,76,21,53,30,198,30avgf
5034e_3dm,30,160,57,80,73,18,40,52,55,40,92,0,68,22,55,30,210,30avgf
5035e_3dm,30,166,79,92,89,20,42,55,66,43,102,28,75,23,56,29,288,30tf
5037e_3dm,30,162,58,78,73,19,35,58,59,38,96,31,76,30,56,28,240,30tf
5038e_3dm,30,155,39,67,62,17,34,53,50,38,74,34,73,22,55,25,202,30avgf
5066e_3dm,60,161,53,81,79,16,31,0,54,0,0,31,0,21,0,26,244,60srtf
5067e_3dm,60,151,54,88,84,17,35,0,61,0,0,34,0,18,0,29,260,60srtf
5068e_3dm,60,153,63,78,77,16,34,0,57,0,0,30,0,23,0,23,248,60srtf
3D-12-0050,50,161,52,74,72,17,38,54,53,39,90,38,72,57,55,20,236,50qf
3D-12-0051,40,150,51,78,76,17,32,48,58,36,93,39,67,56,53,19,244,40avgf
3D-12-0052,60,153,54,82,79,17,36,51,53,40,91,38,66,56,54,17,253,60avgf
3D-12-0053,50,155,76,99,98,20,43,53,64,40,102,45,66,60,56,20,318,50avgf
3D-12-0054,50,151,56,87,86,16,35,50,52,39,92,39,64,54,53,18,268,50avgf
3D-12-0055,50,157,51,81,79,17,32,53,50,39,87,37,72,52,54,17,248,50qf
3D-12-0056,60,155,56,90,88,17,38,53,55,41,89,39,69,53,56,16,273,60bqf
3D-12-0057,50,147,57,88,86,17,44,44,54,38,92,39,61,52,55,16,270,50avgf
3D-12-0058,60,146,46,78,77,17,36,45,49,36,84,37,61,53,53,17,238,60avgf
3D-12-0059,50,162,60,86,84,18,40,53,55,40,90,41,71,59,56,19,271,50avgf
3D-12-0060,60,159,58,84,81,18,38,51,55,36,89,38,67,59,55,19,261,60tf
3D-12-0061,60,150,58,89,87,17,39,47,59,37,90,41,65,53,57,16,275,60tf
3D-12-0062,50,159,66,98,97,19,34,57,56,41,99,40,71,56,55,15,301,50tf
3D-12-0063,50,140,49,84,81,16,35,46,54,35,87,38,60,51,55,17,252,50avgf
3D-12-0064,50,144,41,70,66,16,31,47,49,36,82,34,61,55,54,19,211,50avgf
3D-12-0065,60,155,67,91,92,18,42,53,59,40,97,41,68,54,55,13,291,60bqf
3D-12-0066,50,151,45,74,70,16,33,49,48,37,85,37,64,56,52,19,226,50avgf
3D-12-0067,60,157,56,76,73,18,33,51,52,38,91,40,66,58,55,19,245,60tf
3D-12-0068,60,149,59,94,94,15,46,49,56,40,92,37,67,53,56,17,284,60bqf
3D-12-0069,50,158,52,83,77,16,31,53,53,39,89,37,70,57,53,19,249,50qf
3D-12-0070,40,151,56,81,79,16,39,50,57,38,94,39,65,55,56,17,255,40btf
3D-12-0071,50,156,69,87,85,18,39,51,64,39,102,44,68,58,53,19,285,50rtf
3D-12-0072,50,160,66,88,85,19,37,53,61,40,95,43,71,55,55,16,282,50tf
3D-12-0073,60,158,53,80,76,18,33,52,52,38,91,38,67,54,55,14,247,60tf
3D-12-0074,50,156,53,82,78,17,37,49,54,39,90,40,68,54,54,16,253,50avgf
3D-12-0075,50,161,67,90,89,18,36,52,60,38,100,43,69,58,56,19,289,50avgf
3D-12-0076,50,165,53,83,80,16,34,53,50,39,89,38,75,59,55,18,254,50qf
3D-12-0077,50,154,53,76,74,17,32,52,52,40,89,38,68,54,53,16,241,50qf
3D-12-0078,50,155,54,76,71,17,35,50,56,37,93,38,68,59,53,21,239,50avgf
3D-12-0079,50,164,64,83,80,18,36,53,58,39,94,41,72,57,55,17,268,50tf
3D-12-0080,50,154,58,87,83,17,35,53,56,41,95,39,69,57,52,18,267,50tf
3D-12-0081,50,154,66,88,86,18,43,50,58,42,96,42,69,57,56,19,282,50rtf
3D-12-0082,50,161,52,75,71,18,38,50,54,40,89,37,68,58,54,17,235,50avgf
3D-12-0083,50,165,59,87,78,18,34,53,53,40,98,37,72,60,54,21,261,50qf
3D-12-0084,50,166,57,81,75,17,36,54,53,39,91,38,75,61,54,19,251,50qf
3D-12-0085,50,156,59,86,83,16,38,52,57,39,93,40,66,55,55,16,268,50tf
3D-12-0086,50,156,56,76,73,18,36,50,54,38,91,39,69,59,57,19,244,50avgf
3D-12-0087,50,155,54,81,78,18,34,51,53,38,88,38,69,55,55,17,251,50avgf
3D-12-0088,60,153,56,85,79,17,35,51,56,40,95,38,65,59,56,20,258,60avgf
3D-12-0089,50,152,65,96,94,18,37,49,58,38,94,43,65,53,56,13,298,50rtf
3D-12-0090,50,169,63,85,80,17,35,53,55,39,102,40,74,63,57,21,268,50avgf
3D-12-0091,40,160,63,90,86,17,37,53,54,41,97,41,70,57,55,17,280,40qf
3D-12-0092,50,158,57,83,79,16,32,51,52,38,90,39,67,59,54,19,258,50avgf
3D-12-0093,50,157,61,84,81,17,38,50,60,41,92,39,67,58,57,15,265,50avgf
3D-12-0094,50,156,51,79,74,16,38,52,51,40,88,38,69,55,55,17,242,50qf
3D-12-0095,50,152,52,82,80,18,35,50,52,38,89,39,66,55,56,17,253,50avgf
3D-12-0096,50,159,58,81,79,18,36,50,54,41,92,38,68,58,56,17,256,50avgf
3D-12-0097,50,145,51,87,86,16,33,48,49,37,88,38,61,54,53,16,262,50avgf
3D-12-0098,50,156,56,82,80,17,49,50,56,40,92,38,68,57,55,18,256,50avgf
3D-12-0099,50,150,54,87,86,17,34,50,54,39,93,37,64,55,55,17,264,50avgf
3D-12-0100,50,158,66,95,94,18,40,52,57,40,98,42,69,59,55,17,297,50tf
3D-12-0101,50,158,53,77,74,17,34,51,53,39,91,37,68,57,56,18,241,50avgf
3D-12-0102,50,151,60,89,87,18,36,50,56,40,96,39,64,55,54,16,275,50avgf
3D-12-0103,50,164,57,84,81,19,36,55,49,40,91,37,71,59,55,17,259,50qf
3D-12-0104,40,156,56,81,79,17,36,51,56,39,93,37,66,57,54,18,253,40avgf
3D-12-0105,50,155,65,97,94,19,39,49,56,39,95,41,64,58,55,16,297,50rtf
3D-12-0106,50,161,65,91,90,18,37,53,58,40,94,39,68,58,54,18,285,50tf
3D-12-0107,50,153,58,85,82,18,35,52,54,37,94,39,65,57,53,19,264,50qf
3D-12-0108,50,158,60,87,84,18,35,51,58,39,95,40,68,59,54,19,271,50avgf
3D-12-0109,50,158,64,91,88,18,36,52,60,39,97,39,69,54,56,16,282,50avgf
3D-12-0110,40,167,60,86,76,16,34,55,55,41,93,38,74,59,55,18,260,40qf
3D-12-0111,50,157,56,86,83,17,33,51,52,36,91,39,69,57,54,17,264,50avgf
3D-12-0112,40,169,59,81,74,16,33,55,56,40,96,40,73,60,53,17,254,40qf
3D-12-0113,40,163,55,78,75,17,36,54,53,40,93,37,72,57,55,17,245,40qf
3D-12-0114,40,151,43,73,66,16,32,49,46,38,83,36,65,54,56,17,218,40avgf
3D-12-0115,40,168,60,83,74,16,34,51,56,37,95,36,72,62,56,19,253,40avgf
3D-12-0116,50,150,48,83,81,15,33,48,51,36,84,35,65,54,54,18,247,50avgf
3D-12-0117,50,157,60,88,85,18,36,50,58,39,94,40,68,58,55,19,273,50avgf
3D-12-0118,60,157,58,85,85,18,34,50,53,39,92,41,68,58,54,19,269,60avgf
3D-12-0119,50,161,57,88,84,16,34,55,54,39,94,38,70,57,53,19,267,50tf
