age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
29,175,71,86,81,18,37,55,59,42,96,45,77,62,58,16,212
29,173,73,90,88,17,37,58,62,45,98,46,80,59,59,17,224
26,184,55,70,62,19,33,62,47,44,89,41,85,63,58,16,173
29,174,80,95,86,19,39,59,64,45,101,46,81,64,59,23,227
29,164,56,74,71,18,36,55,52,39,82,41,73,57,57,18,186
25,173,77,88,84,18,41,58,64,50,100,46,80,62,60,20,218
24,175,72,89,83,19,36,57,58,46,98,45,78,61,60,18,217
25,169,53,72,68,17,35,54,49,39,95,41,78,60,59,17,181
29,182,72,83,77,19,35,62,53,45,95,46,83,65,61,21,206
27,183,70,82,75,18,37,62,56,46,94,44,84,66,61,22,201
25,170,65,82,80,17,35,55,57,44,93,43,77,62,61,19,205
27,183,66,81,78,21,35,63,59,48,90,43,89,60,58,17,202
27,185,79,82,78,19,36,63,59,47,99,48,86,68,60,24,208
25,174,67,80,75,17,36,58,58,47,95,44,81,61,59,22,199
25,184,79,87,81,20,36,61,60,45,101,45,84,67,60,21,213
25,178,83,91,84,20,38,61,64,42,104,47,81,66,60,21,222
27,183,69,77,75,19,36,62,52,43,91,43,82,63,60,22,195
25,179,85,97,102,20,37,62,64,46,104,49,80,64,59,24,248
25,180,66,75,73,19,38,61,55,44,91,44,81,63,57,18,192
26,169,63,76,75,18,36,55,56,42,93,40,75,61,57,17,191
25,165,65,85,80,17,37,58,59,44,93,44,74,57,57,19,209
26,165,62,85,83,18,40,56,55,43,88,40,75,57,57,19,208
26,174,85,103,100,18,39,60,68,41,107,51,80,64,58,21,254
29,174,100,112,100,20,42,57,72,46,111,53,76,62,60,18,265
28,174,65,82,80,18,35,59,51,44,91,40,79,63,57,20,202
27,179,63,80,76,17,35,61,51,44,91,41,83,63,55,20,197
27,168,61,74,73,18,35,56,54,42,91,43,77,58,59,17,190
25,169,67,84,82,18,35,57,59,43,95,42,75,60,56,19,208
28,178,83,91,89,19,38,60,62,44,106,47,78,65,59,23,227
27,169,62,76,75,19,37,56,54,44,90,41,75,63,55,20,192
25,177,87,97,95,20,39,61,64,43,103,47,78,65,60,21,239
29,176,67,82,78,18,34,57,58,42,93,42,79,65,56,21,202
25,178,66,78,77,18,35,57,54,44,93,41,77,64,56,20,196
27,177,86,91,90,21,39,60,62,48,106,49,80,62,59,19,230
28,174,58,72,69,19,33,60,51,43,89,39,77,63,58,20,180
26,178,81,87,85,18,37,60,66,47,103,45,81,63,59,21,217
27,174,81,94,93,20,38,59,61,45,99,45,78,64,60,21,232
29,176,82,89,89,19,40,60,62,42,104,47,78,65,60,19,225
25,169,66,82,80,17,35,56,57,43,95,43,74,63,58,19,205
26,170,63,80,78,18,36,56,58,42,91,43,73,63,57,21,201
26,174,69,81,78,17,37,59,57,44,97,45,79,61,56,18,204
26,170,64,79,77,18,37,57,56,45,92,43,77,58,56,18,199
25,161,57,78,75,18,34,54,60,40,92,39,73,58,53,20,192
25,170,54,71,70,18,33,56,50,41,87,40,76,61,59,20,181
29,176,85,97,93,18,37,60,67,47,97,47,76,64,59,20,237
25,169,69,81,79,19,37,57,59,45,98,44,75,62,60,19,204
28,171,61,73,72,18,35,56,51,47,90,41,75,61,57,17,186
28,177,61,75,72,17,34,60,50,47,90,40,81,63,59,21,187
29,171,70,82,81,18,36,56,56,45,95,43,77,62,56,19,206
27,174,79,92,91,18,38,59,61,47,103,45,75,64,60,20,228
27,171,60,73,71,18,35,59,54,40,90,43,76,61,61,19,187
26,175,66,83,81,18,36,62,56,41,93,44,79,62,59,20,208
25,183,90,95,92,19,37,62,67,47,105,51,83,66,59,20,238
28,181,74,80,77,20,37,64,54,48,96,46,85,61,58,18,203
28,173,68,84,82,18,36,59,55,44,95,43,77,61,60,19,209
27,165,63,80,78,17,34,57,56,43,91,42,74,60,59,19,200
26,179,71,84,81,18,38,62,59,45,98,45,80,64,60,21,210
29,167,60,81,78,19,35,56,58,41,90,41,73,60,59,18,200
27,170,59,79,78,18,35,59,49,43,87,42,77,60,57,18,199
29,169,61,77,76,17,35,59,53,41,90,42,77,56,57,18,195
29,174,66,80,74,19,36,62,57,42,95,42,78,61,59,19,196
26,161,46,65,63,16,34,54,46,44,83,37,73,58,55,17,165
26,167,66,81,80,18,36,58,57,42,94,45,74,60,60,19,206
26,172,58,72,69,18,35,57,53,41,89,41,80,62,57,20,182
30,179,67,80,78,20,35,61,55,43,94,42,83,63,60,20,200
29,169,70,86,82,20,36,59,59,44,96,43,77,60,59,19,211
27,166,70,82,80,17,38,58,59,45,95,42,76,59,58,18,204
26,177,63,77,74,19,35,61,52,43,89,42,81,65,58,21,193
27,174,70,83,79,18,35,60,59,43,94,45,79,62,57,20,207
25,181,60,71,69,18,33,59,50,46,90,39,82,65,59,21,179
27,170,69,83,80,19,35,56,58,44,95,45,74,62,60,21,208
27,173,61,75,72,19,34,59,52,42,92,42,78,62,58,20,189
29,169,72,88,84,18,37,55,60,46,97,45,70,63,59,19,217
27,184,66,81,76,18,33,60,52,44,93,43,85,64,59,22,200
29,187,126,117,101,21,43,62,76,52,123,51,80,70,64,22,269
28,171,65,85,79,19,36,57,56,42,95,42,76,63,56,20,206
28,171,63,76,73,17,37,56,51,43,93,41,73,63,60,18,190
25,168,74,88,84,19,36,58,62,44,98,44,74,60,60,18,216
29,184,105,103,98,19,42,64,66,47,108,51,82,67,59,22,252
29,168,42,66,63,15,30,57,43,44,79,34,76,57,52,17,163
27,174,93,100,96,19,40,63,66,47,109,48,75,65,60,21,244
27,181,84,94,90,19,37,62,60,47,102,45,77,65,60,20,229
26,171,64,79,76,18,35,58,57,41,94,43,75,62,57,19,198
29,161,62,76,74,19,37,56,54,44,89,44,71,56,58,17,194
25,172,61,78,71,18,34,59,54,41,89,41,77,59,59,18,190
22,180,67,80,77,18,35,61,55,45,94,42,80,65,59,21,199
27,176,62,77,71,17,34,59,54,41,91,43,80,62,58,21,191
22,177,82,92,83,20,35,60,65,44,101,50,78,64,58,21,225
26,180,59,75,74,18,36,61,48,45,86,44,83,60,57,18,193
26,172,75,89,85,18,37,60,62,43,97,46,76,59,57,20,220
25,172,86,95,88,19,35,58,69,40,108,48,73,63,57,23,231
28,171,66,87,82,19,36,60,56,45,96,43,77,61,59,21,212
25,168,57,76,74,16,35,57,56,41,88,40,73,60,57,19,190
26,177,71,82,78,20,37,61,57,45,96,44,80,63,57,20,204
26,184,89,93,90,19,37,63,66,47,101,51,80,69,59,21,234
21,174,54,72,67,18,34,58,48,40,86,40,79,61,56,16,179
26,177,60,79,73,18,35,58,50,42,89,42,80,61,56,18,194
26,171,71,86,81,17,34,62,58,41,92,47,78,57,58,18,214
28,175,63,74,73,18,35,60,52,45,88,45,81,60,59,20,192
26,161,55,74,73,17,34,54,56,42,88,41,71,57,57,17,188
29,180,71,84,77,18,33,58,57,44,96,43,77,69,56,23,204
28,169,61,77,72,18,35,55,54,42,91,43,73,63,57,19,192
28,177,85,95,87,19,37,59,65,40,104,47,75,66,61,22,229
23,181,64,77,72,19,34,63,55,45,92,41,82,67,57,21,190
32,161,63,86,84,18,36,57,59,42,98,44,67,60,55,17,214
32,167,67,80,78,19,36,57,58,39,93,44,73,61,59,18,202
32,177,97,100,96,18,39,59,67,46,112,51,77,63,60,20,247
32,160,58,78,76,18,35,56,58,39,90,45,71,58,54,18,199
31,175,70,84,72,19,36,59,62,38,96,45,76,62,56,18,201
31,171,94,104,103,20,43,59,67,42,107,52,73,63,58,16,259
32,169,68,86,85,17,37,56,56,44,96,42,75,62,59,17,213
33,178,86,98,98,19,39,62,66,44,103,48,77,62,61,17,244
33,162,61,85,84,17,35,54,58,40,93,41,71,60,55,18,210
34,175,79,94,90,18,38,58,61,41,102,44,75,63,58,20,228
