,age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,shoulderDegree,bodyvalue,type
787,36,166,55,73,70,14,33,56,54,41,89,43,76,28,57,26,31,241,30avgm
788,37,175,63,76,73,15,34,59,56,43,95,35,77,28,58,30,28,247,30avgm
789,36,180,70,81,80,16,37,60,58,44,99,36,81,28,58,29,33,267,30avgm
790,27,164,81,98,97,18,42,54,67,42,101,27,69,20,59,32,27,303,20avgm
791,23,173,69,77,74,16,38,58,56,45,93,38,77,27,58,29,28,258,20avgm
792,27,166,62,80,77,16,36,54,55,41,90,40,72,25,56,30,27,259,20avgm
793,25,166,64,76,73,17,36,55,61,44,93,38,73,28,57,27,29,251,20avgm
794,25,166,72,84,80,16,36,56,60,42,100,37,71,28,58,28,20,273,20avgm
795,25,170,61,73,71,15,36,58,53,44,90,36,74,26,58,27,28,241,20avgm
796,25,171,66,77,77,16,40,58,60,47,92,40,76,28,60,28,26,260,20avgm
797,26,166,62,81,77,16,39,56,56,41,91,36,73,26,55,29,30,256,20avgm
798,26,171,61,82,78,16,36,59,57,42,92,38,79,26,60,28,30,259,20avgm
799,22,148,38,67,63,14,29,52,46,34,76,43,69,27,56,25,25,211,20avgm
800,24,135,24,51,51,13,27,44,37,34,63,34,62,27,53,21,34,160,20avgm
801,49,129,32,65,65,14,30,43,46,34,72,41,57,27,53,24,29,203,40avgm
802,57,134,34,66,62,14,30,45,48,34,75,37,59,28,54,24,28,199,50avgm
803,58,124,22,52,52,11,26,39,38,30,62,38,55,32,52,19,30,164,50avgm
804,35,171,62,84,80,15,36,55,54,43,92,30,76,22,58,27,26,256,30avgm
805,39,176,62,78,77,15,36,59,52,40,89,32,78,24,59,27,21,249,30avgm
806,38,163,85,100,98,18,45,54,71,46,106,40,69,25,59,28,28,323,30avgm
807,36,144,34,64,63,13,29,49,45,34,73,35,67,27,56,23,28,196,30avgm
808,36,152,41,67,63,15,30,51,46,40,80,41,70,27,54,26,29,212,30avgm
809,38,142,36,62,61,13,29,46,46,35,76,41,65,26,56,22,31,200,30avgm
810,35,147,41,69,68,14,31,50,51,38,78,46,69,29,56,24,29,224,30avgm
811,25,162,69,85,85,16,38,53,62,41,95,42,70,27,58,27,30,281,20avgm
812,36,170,60,77,74,15,36,59,55,44,89,39,76,26,59,27,29,250,30avgm
813,38,172,76,89,87,17,39,57,59,45,99,41,76,27,59,28,25,293,30avgm
814,36,171,95,101,98,18,43,56,71,45,105,52,72,31,59,31,25,346,30avgm
815,36,169,68,87,87,17,42,58,57,44,92,43,75,30,58,28,31,285,30avgm
816,39,141,39,68,67,13,32,49,49,37,78,44,64,29,55,23,30,218,30avgm
817,36,174,65,80,79,16,35,62,54,43,91,36,78,26,57,28,28,260,30avgm
818,37,150,36,67,62,14,30,51,43,37,73,42,71,28,55,24,28,207,30avgm
819,38,149,50,81,78,15,31,51,55,37,88,40,69,27,53,23,26,249,30avgm
820,37,165,66,77,78,16,36,58,56,43,93,36,73,27,58,27,25,257,30avgm
821,36,172,64,78,75,16,38,59,54,39,91,35,79,25,58,28,28,252,30avgm
822,38,167,68,85,83,16,40,57,59,45,95,32,73,25,56,29,26,268,30avgm
823,38,171,70,84,83,15,38,58,57,45,96,37,76,25,57,27,26,274,30avgm
824,36,157,49,73,70,14,31,54,54,40,85,37,69,26,54,26,32,229,30avgm
825,55,159,60,77,78,16,35,56,57,38,94,29,71,22,56,27,24,244,50avgm
826,52,170,59,72,71,15,33,55,52,42,91,35,76,27,58,26,27,237,50qm
827,54,180,87,97,98,17,42,61,62,45,101,38,82,27,62,29,27,320,50avgm
828,52,169,64,78,76,17,37,57,58,42,94,39,75,28,57,27,29,257,50avgm
829,51,167,51,69,68,14,34,57,50,39,87,41,77,27,57,26,27,229,50qm
