age,height,weight,bellyCirc,waistCirc,wristCirc,neckCirc,ArmLength,ThighCirc,shoulderWidth,Hips,armfitCirc,inseam,bodyLength,headCirc,hipLength,bodyvalue
19,167,66,88,74,16,32,57,66,38,102,38,75,26,55,30,200
35,158,51,78,68,16,29,54,55,34,93,36,71,29,54,29,182
38,158,47,74,65,15,30,54,53,36,87,37,72,26,53,27,176
7,125,24,70,63,15,29,41,46,30,67,46,57,29,51,21,179
32,158,52,72,68,16,31,51,54,38,92,42,68,26,57,29,182
37,157,53,78,72,16,33,52,54,39,90,42,70,27,56,29,192
10,144,37,54,51,12,25,50,39,34,77,41,67,30,55,24,146
52,154,82,107,106,19,39,53,67,40,108,44,67,30,56,26,257
32,156,47,77,70,14,28,53,52,37,88,40,71,27,54,26,187
55,153,58,94,83,16,35,53,56,38,93,41,66,28,55,25,218
53,149,53,82,79,17,34,48,54,38,89,42,64,29,54,26,203
39,153,53,82,76,17,35,52,52,39,89,40,67,27,55,27,198
33,159,67,89,85,17,34,54,63,41,105,43,70,31,55,27,217
29,166,62,80,74,17,34,58,60,41,96,37,76,27,57,27,191
32,164,57,77,68,16,32,53,58,37,96,36,72,28,56,30,181
30,162,56,82,73,16,32,55,56,41,95,35,74,29,56,30,190
27,158,55,78,74,16,31,55,55,38,91,41,71,28,54,26,193
34,170,72,92,85,17,33,58,61,42,102,40,76,28,54,28,217
19,167,53,76,68,16,30,52,55,38,93,38,70,29,56,29,182
35,150,52,81,77,16,32,50,55,38,89,39,63,27,56,26,197
30,159,58,85,78,16,35,54,55,39,94,38,74,28,55,27,201
7,117,22,67,64,15,30,37,49,32,65,34,51,27,51,20,165
35,158,55,77,71,16,34,50,54,37,90,33,68,25,56,27,181
32,163,58,81,73,15,33,53,60,37,100,47,73,28,57,28,201
33,168,59,90,76,15,32,56,55,41,96,40,79,28,59,29,206
34,160,78,102,100,17,37,53,64,44,102,44,70,31,58,28,246
36,161,60,82,75,17,36,53,58,43,98,45,71,29,57,28,202
32,154,60,84,76,16,39,50,59,41,97,37,66,27,56,29,197
33,161,54,80,73,16,34,54,54,41,92,39,73,28,57,27,192
18,162,51,71,65,15,30,52,54,40,90,41,72,28,55,27,177
19,163,56,77,66,16,32,53,57,43,95,35,73,24,57,28,178
18,170,84,97,83,18,35,59,71,44,108,36,77,28,59,31,216
18,158,68,94,81,16,36,53,66,40,102,39,71,25,56,28,214
29,165,61,83,73,16,32,55,57,40,95,42,73,27,57,32,198
34,171,72,88,84,17,37,59,58,44,101,42,78,28,60,28,214
26,161,60,82,71,15,31,52,58,37,95,41,72,28,55,28,194
27,160,50,70,63,16,32,51,52,38,89,40,69,26,57,27,173
29,158,61,81,74,16,31,53,58,37,96,41,71,28,56,27,196
26,162,53,75,66,16,32,55,52,41,89,37,73,23,55,26,178
24,160,58,81,75,16,31,56,59,38,95,35,74,28,55,26,191
27,160,51,77,68,14,30,56,54,41,91,37,74,29,57,25,182
29,150,48,82,73,14,32,50,52,37,94,44,65,27,54,27,199
9,135,36,55,51,12,27,46,39,34,78,25,62,19,52,22,131
36,159,50,78,69,15,32,53,53,39,91,40,69,26,55,29,187
31,155,50,77,69,16,32,53,52,39,87,44,70,25,57,26,190
35,162,57,79,76,16,32,56,54,39,94,42,73,28,56,26,197
33,155,54,80,74,16,34,52,57,39,93,37,70,26,57,27,191
34,158,62,86,77,16,34,54,60,39,99,36,69,30,57,26,199
33,155,46,67,61,15,31,50,52,35,87,41,66,28,58,29,169
19,166,57,79,71,15,34,58,55,40,94,38,77,25,58,29,188
19,169,66,81,70,16,33,56,62,41,101,39,75,29,58,31,190
32,159,53,77,67,15,32,53,54,39,92,35,71,30,57,28,179
33,156,56,80,76,16,34,52,55,41,92,41,68,29,56,23,197
30,164,52,74,65,16,32,57,51,37,90,36,76,24,54,28,175
32,161,56,82,74,16,31,54,56,39,95,29,71,22,55,29,185
31,159,50,71,66,15,29,53,56,38,89,32,71,23,55,30,169
33,172,75,98,91,17,34,60,64,42,107,25,80,17,57,25,214
67,164,56,87,77,16,32,56,55,39,94,41,74,29,55,28,205
8,118,20,52,52,13,25,39,41,30,60,44,55,27,52,18,148
10,133,25,60,56,14,31,46,44,34,64,42,66,27,50,19,158
68,145,61,99,98,17,37,52,54,34,92,42,62,26,56,25,239
19,155,58,77,70,16,32,52,57,39,92,37,69,25,57,26,184
35,166,56,76,67,17,32,56,53,39,89,39,76,24,56,30,182
32,160,50,76,67,15,32,54,51,38,89,37,70,24,55,29,180
61,145,54,90,82,17,34,50,56,35,94,37,61,27,54,25,209
61,156,65,96,82,18,39,51,61,39,101,35,65,24,55,29,213
17,158,69,92,85,17,34,54,63,40,105,38,71,24,57,27,215
17,173,85,95,91,17,36,59,68,42,109,34,80,28,55,27,220
17,164,53,73,65,15,31,54,56,38,91,41,75,28,57,30,179
17,157,53,77,65,16,31,57,57,39,94,42,72,29,54,26,184
17,157,54,73,64,16,31,55,58,40,92,48,71,29,53,27,185
60,157,55,84,79,17,35,52,54,39,91,42,68,31,55,28,205
67,156,55,84,74,17,34,54,55,39,92,44,67,30,55,28,202
60,151,58,87,90,17,35,53,52,38,88,40,65,27,57,26,217
61,151,67,106,99,17,37,53,58,40,97,44,69,28,56,24,249
10,130,29,72,69,13,30,44,50,32,71,41,60,26,52,22,182
12,145,39,66,61,15,31,49,49,40,80,42,66,30,56,23,169
10,123,30,55,54,12,24,42,39,30,71,44,56,30,52,21,153
8,118,22,60,57,13,28,39,43,30,63,42,53,28,52,17,159
19,154,45,73,64,15,32,55,49,40,85,45,77,26,55,26,182
19,153,62,89,81,15,33,52,61,41,100,39,68,27,56,26,209
72,156,75,113,105,18,38,56,56,40,101,40,69,28,56,28,258
74,149,53,92,83,16,37,51,53,36,90,45,64,32,54,25,220
71,149,53,90,84,16,37,53,55,36,90,43,70,29,54,24,217
70,153,66,96,98,17,37,52,61,39,99,39,69,28,53,25,233
69,153,50,82,79,17,34,56,48,38,87,48,69,31,55,23,209
61,148,54,88,85,16,34,49,52,37,89,42,64,29,55,24,215
19,160,52,75,69,16,30,54,54,40,92,42,73,28,56,27,186
